index,lat,lon
0,26.663056,87.274012
1,26.663058,87.274177
2,26.663058,87.274253
3,26.663051,87.27441
4,26.663063,87.274435
5,26.663071,87.274507
6,26.663058,87.274571
7,26.663023,87.274624
8,26.662973,87.274658
9,26.66288,87.274825
10,26.662774,87.274955
11,26.662727,87.275178
12,26.66267825,87.275387
13,26.6626295,87.27559600000001
14,26.66258075,87.275805
15,26.662532,87.276014
16,26.662485,87.27620200000001
17,26.662438,87.27639
18,26.662398,87.276549
19,26.6623455,87.2767305
20,26.662293,87.276912
21,26.662259499999998,87.2770535
22,26.662226,87.277195
23,26.662188,87.2773435
24,26.66215,87.277492
25,26.662105250000003,87.27766374999999
26,26.662060500000003,87.2778355
27,26.662015750000002,87.27800725
28,26.661971,87.278179
29,26.661946,87.278274
30,26.661893,87.278468
31,26.66184,87.278662
32,26.661805,87.27881
33,26.66177,87.278958
34,26.66173775,87.27908550000001
35,26.6617055,87.279213
36,26.66167325,87.27934049999999
37,26.661641,87.279468
38,26.661592499999998,87.279659
39,26.661544,87.27985
40,26.6614955,87.280041
41,26.661447,87.280232
42,26.661406375,87.28036912499999
43,26.66136575,87.28050625
44,26.661325125,87.280643375
45,26.6612845,87.28078049999999
46,26.661243875,87.280917625
47,26.66120325,87.28105475
48,26.661162625,87.28119187499999
49,26.661122,87.281329
50,26.661054749999998,87.28153625
51,26.660987499999997,87.2817435
52,26.660920249999997,87.28195075
53,26.660853,87.282158
54,26.660803,87.282323
55,26.6607635,87.282454
56,26.660724,87.282585
57,26.6606775,87.28273675
58,26.660631,87.2828885
59,26.6605845,87.28304025
60,26.660538,87.283192
61,26.660483499999998,87.28336974999999
62,26.660429,87.2835475
63,26.6603745,87.28372525
64,26.66032,87.283903
65,26.660297,87.283977
66,26.660251,87.28414799999999
67,26.660204999999998,87.284319
68,26.660159,87.28449
69,26.660113,87.284661
70,26.660063375,87.284807125
71,26.660013749999997,87.28495325
72,26.659964125,87.285099375
73,26.6599145,87.2852455
74,26.659864875,87.285391625
75,26.65981525,87.28553775
76,26.659765625,87.285683875
77,26.659716,87.28583
78,26.6596715,87.28598450000001
79,26.659627,87.286139
80,26.6595825,87.2862935
81,26.659537999999998,87.28644800000001
82,26.659493499999996,87.2866025
